,team,name,position,player_url
152,Leverkusen,Jonathan Tah,DF,https://fbref.com/en/players/bd142efb/Jonathan-Tah
153,Leverkusen,Álex Grimaldo,DF,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo
154,Leverkusen,Lukáš Hrádecký,GK,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
155,Leverkusen,Piero Hincapié,DF,https://fbref.com/en/players/0c7a48f8/Piero-Hincapie
156,Leverkusen,Florian Wirtz,MF,https://fbref.com/en/players/e7fcf289/Florian-Wirtz
157,Leverkusen,Jeremie Frimpong,DF,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong
158,Leverkusen,Robert Andrich,MF,https://fbref.com/en/players/e0b113a7/Robert-Andrich
159,Leverkusen,Patrik Schick,FW,https://fbref.com/en/players/5d4f7d61/Patrik-Schick
160,Leverkusen,Victor Boniface,FW,https://fbref.com/en/players/b146275b/Victor-Boniface
161,Leverkusen,Aleix García,MF,https://fbref.com/en/players/a10361d2/Aleix-Garcia
162,Leverkusen,Nathan Tella,MF,https://fbref.com/en/players/f1e94cd6/Nathan-Tella
163,Leverkusen,Martin Terrier,MF,https://fbref.com/en/players/5148dcc5/Martin-Terrier
164,Leverkusen,Exequiel Palacios,MF,https://fbref.com/en/players/e82adcab/Exequiel-Palacios
165,Leverkusen,Nordi Mukiele,DF,https://fbref.com/en/players/ac73ec79/Nordi-Mukiele
166,Leverkusen,Arthur,DF,https://fbref.com/en/players/8a958856/Arthur
167,Leverkusen,Jonas Hofmann,MF,https://fbref.com/en/players/2903a856/Jonas-Hofmann
168,Leverkusen,Amine Adli,MF,https://fbref.com/en/players/dcfb17f4/Amine-Adli
169,Leverkusen,Matej Kovar,GK,https://fbref.com/en/players/bc67a0e1/Matej-Kovar
170,Leverkusen,Jeanuël Belocian,DF,https://fbref.com/en/players/c678ddd7/Jeanuel-Belocian
171,Leverkusen,Emi Buendía,MF,https://fbref.com/en/players/66b76d44/Emi-Buendia
172,Leverkusen,Mario Hermoso,DF,https://fbref.com/en/players/555f3a0b/Mario-Hermoso
173,Leverkusen,Kerim Alajbegović,FW,https://fbref.com/en/players/f3d9291e/Kerim-Alajbegovic
174,Leverkusen,Odilon Kossounou,DF,https://fbref.com/en/players/1f3afdcb/Odilon-Kossounou
175,Leverkusen,Niklas Lomb,GK,https://fbref.com/en/players/9321b8ed/Niklas-Lomb
176,Leverkusen,Andrea Natali,DF,https://fbref.com/en/players/1bdba8e4/Andrea-Natali
177,Leverkusen,Francis Onyeka,FW,https://fbref.com/en/players/88d7a0d3/Francis-Onyeka
178,Leverkusen,Artem Stepanov,FW,https://fbref.com/en/players/44a78efb/Artem-Stepanov
179,Leverkusen,Lukáš Hrádecký,GK,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
180,Real Madrid,Federico Valverde,MF,https://fbref.com/en/players/0959c2a2/Federico-Valverde
181,Real Madrid,Antonio Rüdiger,DF,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
182,Real Madrid,Kylian Mbappé,FW,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe
183,Real Madrid,Thibaut Courtois,GK,https://fbref.com/en/players/1840e36d/Thibaut-Courtois
184,Real Madrid,Jude Bellingham,MF,https://fbref.com/en/players/57d88cf9/Jude-Bellingham
185,Real Madrid,Aurélien Tchouaméni,MF,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni
186,Real Madrid,Rodrygo,FW,https://fbref.com/en/players/8f5e92a6/Rodrygo
187,Real Madrid,Vinicius Júnior,FW,https://fbref.com/en/players/7111d552/Vinicius-Junior
188,Real Madrid,Lucas Vázquez,DF,https://fbref.com/en/players/fd51b456/Lucas-Vazquez
189,Real Madrid,Fran Garcia,DF,https://fbref.com/en/players/7226539b/Fran-Garcia
190,Real Madrid,Éder Militão,DF,https://fbref.com/en/players/2784f898/Eder-Militao
191,Real Madrid,Ferland Mendy,DF,https://fbref.com/en/players/3cefcaef/Ferland-Mendy
192,Real Madrid,Dani Ceballos,MF,https://fbref.com/en/players/c0617e2b/Dani-Ceballos
193,Real Madrid,Brahim Díaz,FW,https://fbref.com/en/players/407feb71/Brahim-Diaz
194,Real Madrid,Luka Modrić,MF,https://fbref.com/en/players/6025fab1/Luka-Modric
195,Real Madrid,Dani Carvajal,DF,https://fbref.com/en/players/4958bfb2/Dani-Carvajal
196,Real Madrid,Arda Güler,MF,https://fbref.com/en/players/3741ca58/Arda-Guler
197,Real Madrid,Eduardo Camavinga,MF,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga
198,Real Madrid,Raúl Asencio,DF,https://fbref.com/en/players/4731cd4c/Raul-Asencio
199,Real Madrid,Andriy Lunin,GK,https://fbref.com/en/players/3061e1ec/Andriy-Lunin
200,Real Madrid,Endrick,FW,https://fbref.com/en/players/a2728fbf/Endrick
201,Real Madrid,David Alaba,DF,https://fbref.com/en/players/05439de2/David-Alaba
202,Real Madrid,Jesús Vallejo,DF,https://fbref.com/en/players/c2111b45/Jesus-Vallejo
203,Real Madrid,Chema,MF,https://fbref.com/en/players/39ef21fa/Chema
204,Real Madrid,Lorenzo Aguado,DF,https://fbref.com/en/players/beae81e1/Lorenzo-Aguado
205,Real Madrid,Daniel Yáñez,FW,https://fbref.com/en/players/79310b33/Daniel-Yanez
206,Real Madrid,Diego Aguado,DF,https://fbref.com/en/players/2b16b2f5/Diego-Aguado
207,Real Madrid,Fran,GK,https://fbref.com/en/players/5e550a91/Fran
208,Real Madrid,Gonzalo García,MF,https://fbref.com/en/players/74c2d562/Gonzalo-Garcia
